child_ltla	parent_ltla
E07000035	E08000019
E07000038	E08000019
E07000133	E07000176
E07000129	E06000016
E07000135	E06000016
E07000223	E06000043
E07000166	E06000047
E06000027	E07000045
E07000042	E07000045
E07000078	E07000083
E07000112	E07000105
E07000030	E06000057
E07000079	E06000054
E07000187	E06000054
E07000243	E07000242
E07000008	E07000012
E07000210	E09000021
E07000208	E09000021
E07000046	E06000052
E07000026	E07000031
E07000009	E07000245
E07000174	E07000171
E07000175	E07000171
E07000246	E07000189
E07000039	E06000015
E07000036	E06000015
E07000032	E06000015
E07000080	E07000082
E07000074	E07000071
E07000138	E07000142
E07000011	E06000056
E08000013	E08000010
E07000061	E07000065
E07000163	E08000032
E07000088	E07000087
E07000239	E06000051
E07000152	E06000031
E07000141	E06000031
E07000140	E06000031
E07000147	E07000143
E07000037	E06000049
E07000149	E07000244
E07000236	E07000238
E07000169	E08000035
E07000199	E07000218
E07000119	E07000126
E07000068	E09000016
E07000227	E07000226
