ltla	pop
E07000213	99873
E09000028	320017
E09000014	266357
E07000211	149243
E08000003	555741
E07000109	106890
E09000022	321813
E09000024	206453
E07000098	105471
E07000063	103525
E06000051	325415
E07000071	197200
E08000026	379387
E09000025	355266
E09000004	249301
E07000245	177302
E09000033	269848
E09000010	333587
E09000002	214107
E09000027	198141
E07000207	137215
E09000005	327753
E06000043	291738
E09000032	329735
E09000011	289034
E09000008	388563
E06000032	213528
E09000012	280941
E09000006	332752
E09000009	340341
E07000212	90327
E07000042	83290
E06000027	136218
E07000045	135039
E09000021	179142
E07000164	91932
E06000059	379791
E07000225	121508
E07000147	105167
E07000047	56139
E07000241	123893
E07000165	161545
E07000094	125925
E07000181	111758
E06000047	533149
E06000026	262839
E07000239	101139
E07000044	87946
E07000041	133333
E09000026	305658
E09000015	252338
E06000044	214692
E07000029	68041
E09000017	309014
E07000011	178985
E07000026	97831
E09000018	271767
E06000020	181322
E06000031	202626
E07000010	102080
E09000029	207707
E09000003	399007
E07000218	65452
E09000020	156864
E06000052	573299
E07000085	123838
E09000007	279516
E07000146	151245
E07000192	101484
E07000070	179549
E07000214	89204
E07000119	81211
E08000004	237628
E08000028	329042
E08000008	227117
E09000031	276940
E07000103	96623
E08000007	294197
E09000019	248115
E07000068	77242
E06000057	323820
E06000011	343201
E07000237	100265
E06000010	259126
E06000045	252872
E07000069	90524
E06000016	354036
E07000172	114627
E08000027	322363
E06000030	222881
E06000035	279142
E07000246	155421
E07000220	110650
E07000243	88104
E07000107	114051
E07000130	188416
E06000034	175531
E06000054	504070
E06000058	396989
E07000066	187558
E06000007	209397
E07000065	162733
E09000030	331969
E07000095	97592
E07000242	151786
E08000005	223659
E06000033	182773
E07000136	70837
E07000073	87280
E06000022	196357
E07000089	97608
E07000008	125063
E07000154	224290
E07000032	128829
E07000228	152142
E07000149	143066
E07000113	151015
E07000075	87627
E07000072	132175
E07000209	150352
E08000011	152452
E07000134	104809
E07000080	87107
E08000037	201950
E07000198	98427
E07000133	51394
E07000144	131931
E06000039	149577
E07000116	118939
E07000173	118239
E06000050	343823
E06000041	173945
E07000084	177760
E07000177	151846
E06000060	547060
E08000032	542128
E07000096	155457
E07000196	112369
E06000042	270203
E08000035	798786
E08000024	277846
E07000217	100008
E06000012	159364
E07000137	142030
E07000061	103324
E08000025	1140525
E08000021	306824
E06000019	193615
E07000195	129610
E07000106	166762
E07000179	143782
E09000013	183544
E06000056	294096
E06000023	465866
E07000129	101950
E06000025	287816
E07000235	79445
E07000081	129709
E07000099	133463
E07000091	179649
E07000074	65401
E06000018	337098
E08000019	589214
E08000029	217487
E08000030	286716
E07000110	173132
E07000108	118514
E07000174	109351
E07000170	128337
E08000018	264984
E07000033	81305
E08000012	500474
E08000014	275899
E07000208	81003
E07000111	121387
E07000216	126556
E07000169	91697
E07000197	137858
E08000009	237579
E06000046	142296
E07000046	68719
E09000023	305309
E07000078	116043
E07000141	143225
E07000140	95857
E06000006	129759
E07000132	113666
E07000152	95103
E07000076	147353
E08000034	441290
E06000001	93836
E07000189	168696
E07000153	102211
E07000226	112474
E07000219	130373
E07000221	132402
E06000049	386667
E07000012	160904
E07000090	126339
E07000238	131084
E07000187	116288
E07000224	161123
E06000038	160337
E06000036	124165
E07000240	149317
E07000229	110727
E08000022	208871
E07000115	132571
E07000086	135520
E07000031	104905
E07000227	145474
E07000188	123446
E07000038	102216
E07000148	142177
E07000244	250373
E06000014	211012
E07000093	127163
E07000040	148080
E07000088	84679
E07000200	92735
E07000118	118870
E07000155	95492
E06000037	158465
E06000055	174687
