ltla	LAT	LONG
E06000002	-1.222304	54.542028
E06000003	-1.020921	54.551759
E06000005	-1.552783	54.548695
E06000010	-0.335041	53.764206
E06000011	-0.492261	53.874608
E06000012	-0.137786	53.542553
E06000013	-0.593699	53.590891
E06000014	-1.061422	53.958666
E06000015	-1.468284	52.912531
E06000016	-1.128397	52.638022
E06000018	-1.176436	52.960663
E06000019	-2.745097	52.103677
E06000020	-2.488706	52.730206
E06000022	-2.475297	51.355964
E06000023	-2.600295	51.466801
E06000024	-2.794081	51.389778
E06000025	-2.457580	51.541989
E06000026	-4.118375	50.392028
E06000030	-1.743908	51.571478
E06000031	-0.252745	52.608475
E06000032	-0.425595	51.894135
E06000033	0.709516	51.547792
E06000034	0.367835	51.509108
E06000035	0.553937	51.415117
E06000036	-0.739824	51.408140
E06000037	-1.304470	51.449562
E06000038	-0.983916	51.453024
E06000039	-0.586534	51.508362
E06000040	-0.699831	51.485722
E06000041	-0.883903	51.429474
E06000042	-0.733625	52.083809
E06000043	-0.134036	50.844589
E06000044	-1.070112	50.820804
E06000045	-1.399244	50.919829
E06000047	-1.839776	54.695379
E06000050	-2.732483	53.197775
E06000051	-2.734082	52.635421
E06000052	-4.824992	50.406739
E06000054	-1.944740	51.297643
E06000055	-0.477052	52.189169
E06000056	-0.436082	52.006635
E06000057	-2.068202	55.239478
E06000058	-1.878862	50.749501
E06000059	-2.335913	50.807856
E06000060	-0.812094	51.785261
E07000008	0.132827	52.199362
E07000009	0.294722	52.342958
E07000010	0.060795	52.562825
E07000011	-0.220799	52.373701
E07000012	0.081201	52.172782
E07000032	-1.466657	53.029237
E07000035	-1.693582	53.128515
E07000037	-1.874034	53.373015
E07000039	-1.559377	52.831026
E07000041	-3.510777	50.722274
E07000042	-3.556237	50.876196
E07000043	-3.910877	51.069092
E07000061	0.265972	50.776604
E07000062	0.570351	50.869996
E07000063	0.004697	50.882646
E07000064	0.537325	50.952226
E07000065	0.198442	50.967832
E07000066	0.466058	51.590318
E07000067	0.589952	51.941940
E07000069	0.580722	51.545623
E07000070	0.480607	51.725735
E07000071	0.856841	51.876083
E07000072	0.148644	51.708901
E07000073	0.108517	51.768439
E07000074	0.768235	51.710440
E07000075	0.743861	51.594979
E07000076	1.110151	51.870427
E07000078	-2.074059	51.896988
E07000079	-1.892612	51.816584
E07000081	-2.240171	51.849293
E07000083	-2.087046	51.945751
E07000084	-1.200883	51.273448
E07000085	-0.955060	51.074583
E07000086	-1.326539	50.937792
E07000087	-1.222398	50.853147
E07000089	-0.897315	51.284858
E07000090	-0.990665	50.848400
E07000091	-1.631401	50.859987
E07000093	-1.510571	51.128616
E07000096	-0.540863	51.778219
E07000098	-0.281017	51.677328
E07000099	-0.192491	51.959085
E07000102	-0.460610	51.660972
E07000105	0.811463	51.125315
E07000106	1.104822	51.280995
E07000107	0.252313	51.429785
E07000108	1.287684	51.211447
E07000109	0.395124	51.402227
E07000110	0.580569	51.235004
E07000112	0.994514	51.055807
E07000113	0.816038	51.335428
E07000114	1.337926	51.354326
E07000116	0.430671	51.114418
E07000120	-2.389905	53.758747
E07000121	-2.689291	54.069611
E07000123	-2.697477	53.812175
E07000124	-2.444706	53.907297
E07000126	-2.708297	53.727911
E07000130	-1.146036	52.737036
E07000134	-1.404966	52.753170
E07000136	-0.037727	52.973296
E07000137	0.022397	53.251530
E07000138	-0.554859	53.224707
E07000139	-0.446139	53.081189
E07000141	-0.518305	52.854421
E07000142	-0.476465	53.392903
E07000143	0.837273	52.588167
E07000144	1.309824	52.701280
E07000145	1.660070	52.642231
