child_ltla	parent_ltla
E07000166	E06000047
E07000030	E06000047
E06000001	E06000047
E06000005	E06000047
E07000046	E06000052
E07000047	E06000052
E07000223	E06000043
E07000156	E06000042
E07000164	E06000014
E07000029	E07000026
E07000119	E07000123
E07000124	E07000123
E07000133	E07000130
E07000080	E06000025
E07000082	E06000025
E07000235	E06000051
E07000083	E07000078
E06000017	E07000141
E07000225	E07000227
E07000043	E07000246
E07000042	E07000246
E07000040	E07000246
E07000167	E06000011
E07000168	E06000011
E06000002	E06000004
E06000003	E06000004
E07000009	E07000245
E07000165	E08000035
E07000169	E08000035
E07000062	E07000064
E07000116	E07000064
E07000044	E06000026
E07000135	E06000016
E07000131	E06000016
E07000037	E08000008
E07000142	E06000012
E07000137	E06000012
E07000035	E08000019
E07000068	E09000016
E07000041	E07000045
E07000031	E07000121
E07000176	E06000018
E07000172	E06000018
E07000120	E06000008
E07000125	E06000008
E07000126	E06000008
E07000117	E08000033
E07000155	E06000060
E07000089	E06000041
E07000187	E06000054
E07000163	E08000032
E07000033	E08000018
E07000087	E06000044
E07000086	E07000094
E07000238	E07000239
E07000008	E07000012
E07000215	E09000008
E07000236	E07000234
E07000218	E08000025
E07000152	E06000031
