ltla	pop
E09000033	269848
E07000075	87627
E06000033	182773
E07000086	135520
E09000016	260651
E08000028	329042
E06000032	213528
E09000003	399007
E09000030	331969
E09000028	320017
E09000023	305309
E09000032	329735
E06000025	287816
E07000084	177760
E08000035	798786
E06000031	202626
E07000152	95103
E06000055	174687
E07000155	95492
E07000012	160904
E06000042	270203
E07000154	224290
E06000013	172748
E06000023	465866
E09000011	289034
E07000076	147353
E07000219	130373
E07000079	90264
E06000054	769143
E09000009	340341
E09000013	183544
E07000189	168696
E07000061	103324
E06000049	386667
E08000016	248071
E07000108	118514
E07000225	121508
E07000064	96716
E07000110	173132
E06000035	279142
E07000115	132571
E07000066	187558
E09000022	321813
E07000242	151786
E06000036	124165
E09000029	207707
E09000019	248115
E07000239	101139
E07000082	120903
E07000238	316917
E07000043	98170
E06000027	136218
E07000094	125925
E06000034	175531
E07000241	123893
E07000166	53732
E06000047	735099
E06000009	138381
E07000207	137215
E08000003	555741
E08000007	294197
E07000130	188416
E08000009	237579
E08000010	330712
E06000012	159364
E07000065	162733
E06000038	160337
E07000128	113067
E07000038	102216
E07000073	87280
E07000085	123838
E08000019	589214
E06000020	181322
E07000197	137858
E07000141	143225
E07000120	81133
E06000059	379791
E06000018	580062
E07000194	319962
E07000123	144147
E09000014	266357
E08000017	312785
E07000144	131931
E08000030	286716
E08000008	227117
E07000215	88542
E06000001	93836
E09000017	309014
E09000006	332752
E06000041	173945
E07000063	103525
E06000052	573299
E07000062	92554
E07000069	90524
E07000228	152142
E07000122	92145
E08000015	324336
E06000011	343201
E07000083	96624
E07000081	129709
E07000099	133463
E08000012	652926
E08000018	346289
E09000021	179142
E08000025	1140525
E08000026	524296
E07000220	110650
E07000131	95537
E09000008	388563
E07000112	113320
E07000148	142177
E09000027	198141
E06000024	215574
E06000057	323820
E07000150	73053
E06000060	547060
E09000031	276940
E06000058	396989
E07000010	102080
E07000008	125063
E09000002	214107
E07000070	179549
E07000088	84679
E09000026	305658
E07000245	177302
E09000004	249301
E07000071	197200
E06000046	142296
E08000033	211439
E08000001	288248
E06000030	222881
E09000007	279516
E06000050	343823
E07000224	161123
E08000024	277846
E07000246	278867
E07000177	151846
E07000133	51394
E06000016	354036
E07000142	96186
E07000176	121416
E07000132	113666
E08000014	275899
E07000091	179649
E07000153	102211
E07000068	77242
E08000023	151133
E07000209	432294
E07000098	105471
E08000032	599466
E07000226	112474
E07000149	143066
E09000025	355266
E09000024	206453
E06000014	211012
E08000031	264407
E07000067	153091
E08000027	322363
E09000005	327753
E08000029	349889
E08000034	441290
E07000143	141255
E07000211	149243
E07000114	141458
E08000005	295091
E07000106	297780
E07000244	250373
E07000009	90172
E07000235	79445
E07000102	93966
E08000036	351592
E09000020	156864
E09000010	333587
E09000015	252338
E07000011	178985
E07000103	96623
E06000026	350785
E06000051	519030
E07000171	227631
E06000022	196357
E07000196	112369
E06000021	256622
E06000056	294096
E06000045	252872
E07000090	126339
E07000072	132175
E07000042	83290
E07000179	143782
E06000043	291738
E07000213	99873
E07000096	155457
E07000107	114051
E07000113	151015
E07000193	120923
E07000045	135039
E07000117	89344
E07000216	126556
E06000015	256814
E07000109	106890
E07000200	92735
E07000087	116338
E06000004	197419
E09000018	271767
E07000116	118939
E06000039	149577
E07000192	101484
E07000147	105167
E06000044	214692
E08000013	181095
E07000227	145474
E07000202	135979
E08000021	306824
E08000022	208871
E06000017	40476
E07000111	121387
E07000074	65401
E06000010	259126
E07000135	57313
E07000124	62026
E06000008	150030
E07000208	81003
E07000175	123127
E07000199	76864
E06000040	151273
E07000034	104930
E07000095	97592
E07000089	97608
E07000046	68719
E08000004	237628
E06000005	107402
E07000040	148080
E06000006	129759
E07000077	92759
E07000165	161545
E07000243	88104
E07000240	149317
E07000145	99198
E07000037	92633
E07000139	118149
E09000012	280941
E07000137	142030
E07000136	70837
E06000007	209397
E07000195	129610
E07000234	100569
E07000229	110727
E07000041	133333
E07000181	111758
E07000146	151245
E07000214	89204
E07000169	91697
E07000187	116288
E07000151	86951
